country,iso_a3,valid_name,taxon,REALM,CRIIS.check,CRIIS_status
Belgium,BEL,Anas acuta,Birds,Freshwater,0,NA
Belgium,BEL,Anas crecca,Birds,Freshwater,0,NA
Belgium,BEL,Anas platyrhynchos,Birds,Freshwater,0,NA
Belgium,BEL,Anser albifrons,Birds,Freshwater,0,NA
Belgium,BEL,Anser anser,Birds,Freshwater,1,non-native
Belgium,BEL,Ardea cinerea,Birds,Freshwater,0,NA
Belgium,BEL,Arenaria interpres,Birds,Freshwater,0,NA
Belgium,BEL,Aythya ferina,Birds,Freshwater,0,NA
Belgium,BEL,Aythya fuligula,Birds,Freshwater,0,NA
Belgium,BEL,Branta canadensis,Birds,Freshwater,1,non-native
Belgium,BEL,Calidris alba,Birds,Freshwater,0,NA
Belgium,BEL,Calidris alpina,Birds,Freshwater,0,NA
Belgium,BEL,Charadrius hiaticula,Birds,Freshwater,0,NA
Belgium,BEL,Cygnus columbianus,Birds,Freshwater,0,NA
Belgium,BEL,Cygnus olor,Birds,Freshwater,0,NA
Belgium,BEL,Egretta garzetta,Birds,Freshwater,0,NA
Belgium,BEL,Fulica atra,Birds,Freshwater,0,NA
Belgium,BEL,Gallinago gallinago,Birds,Freshwater,0,NA
Belgium,BEL,Gallinula chloropus,Birds,Freshwater,0,NA
Belgium,BEL,Haematopus ostralegus,Birds,Freshwater,0,NA
Belgium,BEL,Limosa lapponica,Birds,Freshwater,0,NA
Belgium,BEL,Mareca penelope,Birds,Freshwater,0,NA
Belgium,BEL,Mareca strepera,Birds,Freshwater,0,NA
Belgium,BEL,Mergus serrator,Birds,Freshwater,0,NA
Belgium,BEL,Numenius arquata,Birds,Freshwater,0,NA
Belgium,BEL,Phalacrocorax carbo,Birds,Freshwater,0,NA
Belgium,BEL,Philomachus pugnax,Birds,Freshwater,0,NA
Belgium,BEL,Platalea leucorodia,Birds,Freshwater,0,NA
Belgium,BEL,Pluvialis apricaria,Birds,Freshwater,0,NA
Belgium,BEL,Pluvialis squatarola,Birds,Freshwater,0,NA
