plot,group,measure,x_variable,id,scale,x,y,title,author,journal,search,population,region,survey.freq,ecosystem,continent,kingdom,major.group,species.names,common.name,longevity.yrs,time.series.length,time.series.period,years.surveyed,completeness.full,completeness.10yrs,class
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),1996,2.995594713656388,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),1997,6.255506607929517,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),1998,5.110132158590311,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),1999,11.45374449339207,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2000,19.55947136563877,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2001,29.33920704845815,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2002,35.066079295154175,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2003,27.665198237885463,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2004,29.95594713656387,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2005,32.24669603524229,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2006,16.563876651982376,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,CPUE,Year,,(n/trap),2007,9.867841409691632,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions,Strayer SI,Y,Lake Immeln,yearly,Freshwater,Europe,Animalia,Crustacea,Pacifastacus leniusculus,NA,12.8,15,"(1996, 2010)",15,1,1,"boom &
 sust. unk"
