STUDY_ID,valid_name,CEN_LATITUDE,CEN_LONGITUDE,taxon,REALM
59,Amphispiza bilineata,30.3226,-103.501,Birds,Terrestrial
172,Arenaria interpres,35.009739,-24.224698,Birds,Marine
172,Bulweria bulwerii,35.009739,-24.224698,Birds,Marine
172,Calonectris diomedea,35.009739,-24.224698,Birds,Marine
59,Campylorhynchus brunneica,30.3226,-103.501,Birds,Terrestrial
172,Columba livia,35.009739,-24.224698,Birds,Marine
172,Larus cachinnans,35.009739,-24.224698,Birds,Marine
59,Pipilo chlorurus,30.3226,-103.501,Birds,Terrestrial
59,Pooecetes gramineus,30.3226,-103.501,Birds,Terrestrial
172,Puffinus baroli,35.009739,-24.224698,Birds,Marine
172,Puffinus gravis,35.009739,-24.224698,Birds,Marine
172,Puffinus griseus,35.009739,-24.224698,Birds,Marine
172,Stercorarius skua,35.009739,-24.224698,Birds,Marine
172,Onychoprion fuscatus,35.009739,-24.224698,Birds,Marine
46,Linaria cannabina,51.698,-5.277,Birds,Terrestrial
41,Accipiter striatus,39.5,-82.48,Birds,Terrestrial
46,Acrocephalus schoenobaenus,51.698,-5.277,Birds,Terrestrial
169,Larus occidentalis,34.858456,-121.614941,Birds,Marine
169,Oceanodroma leucorhoa,34.858456,-121.614941,Birds,Marine
169,Uria aalge,34.858456,-121.614941,Birds,Marine
169,Stercorarius pomarinus,34.858456,-121.614941,Birds,Marine
169,Sterna elegans,34.858456,-121.614941,Birds,Marine
169,Larus californicus,34.858456,-121.614941,Birds,Marine
169,Fulmarus glacialis,34.858456,-121.614941,Birds,Marine
169,Mola mola,34.858456,-121.614941,Fish,Marine
169,Phalaropus lobatus,34.858456,-121.614941,Birds,Marine
169,Puffinus griseus,34.858456,-121.614941,Birds,Marine
169,Oceanodroma homochroa,34.858456,-121.614941,Birds,Marine
169,Ptychoramphus aleuticus,34.858456,-121.614941,Birds,Marine
169,Puffinus creatopus,34.858456,-121.614941,Birds,Marine
169,Pterodroma cookii,34.858456,-121.614941,Birds,Marine
169,Synthliboramphus hypoleucus,34.858456,-121.614941,Birds,Marine
169,Phoebastria nigripes,34.858456,-121.614941,Birds,Marine
169,Xema sabini,34.858456,-121.614941,Birds,Marine
169,Phalaropus fulicarius,34.858456,-121.614941,Birds,Marine
169,Rissa tridactyla,34.858456,-121.614941,Birds,Marine
169,Sterna maxima,34.858456,-121.614941,Birds,Marine
169,Phalacrocorax auritus,34.858456,-121.614941,Birds,Marine
46,Alauda arvensis,51.698,-5.277,Birds,Terrestrial
91,Alauda arvensis,57.038966,20.555517,Birds,Marine
91,Alca torda,57.038966,20.555517,Birds,Marine
69,Alca torda,54.783267,-4.26303,Birds,Marine
51,Tetrastes bonasia,61.9241,25.7482,Birds,Terrestrial
51,Lagopus lagopus,61.9241,25.7482,Birds,Terrestrial
51,Lyrurus tetrix,61.9241,25.7482,Birds,Terrestrial
51,Tetrao urogallus,61.9241,25.7482,Birds,Terrestrial
166,Actitis macularius,36.075242,-70.991806,Birds,Marine
166,Alca torda,36.075242,-70.991806,Birds,Marine
169,Pelecanus occidentalis,34.858456,-121.614941,Birds,Marine
169,Prionace glauca,34.858456,-121.614941,Fish,Marine
169,Puffinus opisthomelas,34.858456,-121.614941,Birds,Marine
169,Larus argentatus,34.858456,-121.614941,Birds,Marine
169,Oceanodroma microsoma,34.858456,-121.614941,Birds,Marine
169,Stercorarius parasiticus,34.858456,-121.614941,Birds,Marine
169,Hydroprogne caspia,34.858456,-121.614941,Birds,Marine
169,Puffinus tenuirostris,34.858456,-121.614941,Birds,Marine
169,Cerorhinca monocerata,34.858456,-121.614941,Birds,Marine
169,Podiceps nigricollis,34.858456,-121.614941,Birds,Marine
169,Stercorarius longicaudus,34.858456,-121.614941,Birds,Marine
169,Pterodroma ultima,34.858456,-121.614941,Birds,Marine
169,Pterodroma longirostris,34.858456,-121.614941,Birds,Marine
169,Puffinus bulleri,34.858456,-121.614941,Birds,Marine
169,Sterna paradisaea,34.858456,-121.614941,Birds,Marine
169,Aechmophorus occidentalis,34.858456,-121.614941,Birds,Marine
169,Phalacrocorax penicillatus,34.858456,-121.614941,Birds,Marine
169,Sterna hirundo,34.858456,-121.614941,Birds,Marine
91,Alle alle,57.038966,20.555517,Birds,Marine
166,Alle alle,36.075242,-70.991806,Birds,Marine
47,Anas acuta,50.845447,-107.446257,Birds,Terrestrial
47,Mareca americana,50.845447,-107.446257,Birds,Terrestrial
47,Spatula clypeata,50.845447,-107.446257,Birds,Terrestrial
91,Anas crecca,57.038966,20.555517,Birds,Marine
47,Anas crecca,50.845447,-107.446257,Birds,Terrestrial
47,Spatula discors,50.845447,-107.446257,Birds,Terrestrial
46,Anas platyrhynchos,51.698,-5.277,Birds,Terrestrial
91,Anas platyrhynchos,57.038966,20.555517,Birds,Marine
47,Anas platyrhynchos,50.845447,-107.446257,Birds,Terrestrial
47,Mareca strepera,50.845447,-107.446257,Birds,Terrestrial
58,Zenaida asiatica,18.19,-65.43,Birds,Terrestrial
58,Vireo altiloquus,18.19,-65.43,Birds,Terrestrial
46,Anthus pratensis,51.698,-5.277,Birds,Terrestrial
166,Podiceps auritus,36.075242,-70.991806,Birds,Marine
91,Apus apus,57.038966,20.555517,Birds,Marine
39,Archilochus colubris,43.91,-71.75,Birds,Terrestrial
169,Phaethon aethereus,34.858456,-121.614941,Birds,Marine
91,Ardea cinerea,57.038966,20.555517,Birds,Marine
166,Anas crecca,36.075242,-70.991806,Birds,Marine
166,Anas platyrhynchos,36.075242,-70.991806,Birds,Marine
166,Anas rubripes,36.075242,-70.991806,Birds,Marine
169,Procellaria parkinsoni,34.858456,-121.614941,Birds,Marine
47,Aythya affinis,50.845447,-107.446257,Birds,Terrestrial
47,Aythya americana,50.845447,-107.446257,Birds,Terrestrial
47,Aythya collaris,50.845447,-107.446257,Birds,Terrestrial
91,Aythya marila,57.038966,20.555517,Birds,Marine
47,Aythya valisineria,50.845447,-107.446257,Birds,Terrestrial
41,Baeolophus bicolor,39.5,-82.48,Birds,Terrestrial
166,Anous stolidus,36.075242,-70.991806,Birds,Marine
166,Anous tenuirostris,36.075242,-70.991806,Birds,Marine
166,Anser albifrons,36.075242,-70.991806,Birds,Marine
169,Larus delawarensis,34.858456,-121.614941,Birds,Marine
169,Gavia pacifica,34.858456,-121.614941,Birds,Marine
169,Synthliboramphus craveri,34.858456,-121.614941,Birds,Marine
169,Pterodroma neglecta,34.858456,-121.614941,Birds,Marine
169,Pterodroma externa,34.858456,-121.614941,Birds,Marine
166,Aythya marila,36.075242,-70.991806,Birds,Marine
169,Puffinus pacificus,34.858456,-121.614941,Birds,Marine
41,Bonasa umbellus,39.5,-82.48,Birds,Terrestrial
169,Phalacrocorax pelagicus,34.858456,-121.614941,Birds,Marine
41,Bubo spec,39.5,-82.48,Birds,Terrestrial
47,Bucephala albeola,50.845447,-107.446257,Birds,Terrestrial
91,Bucephala clangula,57.038966,20.555517,Birds,Marine
67,Anous minutus,-28.954467,24.950961,Birds,Terrestrial
46,Buteo buteo,51.698,-5.277,Birds,Terrestrial
169,Puffinus carneipes,34.858456,-121.614941,Birds,Marine
58,Coereba flaveola,18.19,-65.43,Birds,Terrestrial
58,Anthracothorax viridis,18.19,-65.43,Birds,Terrestrial
169,Larus philadelphia,34.858456,-121.614941,Birds,Marine
169,Fratercula cirrhata,34.858456,-121.614941,Birds,Marine
166,Branta bernicla,36.075242,-70.991806,Birds,Marine
166,Branta canadensis,36.075242,-70.991806,Birds,Marine
166,Bucephala albeola,36.075242,-70.991806,Birds,Marine
166,Calidris alba,36.075242,-70.991806,Birds,Marine
166,Calidris alpina,36.075242,-70.991806,Birds,Marine
166,Calidris bairdii,36.075242,-70.991806,Birds,Marine
166,Calidris fuscicollis,36.075242,-70.991806,Birds,Marine
166,Calidris maritima,36.075242,-70.991806,Birds,Marine
166,Calidris melanotos,36.075242,-70.991806,Birds,Marine
166,Calidris minutilla,36.075242,-70.991806,Birds,Marine
166,Calidris pusilla,36.075242,-70.991806,Birds,Marine
